Date,Category,Amount (₹),Type,Description
2023-01-01,Utilities,45617,Expense,Utilities transaction on January 01
2023-01-02,Operations,14018,Expense,Operations transaction on January 02
2023-01-03,Marketing,37090,Expense,Marketing transaction on January 03
2023-01-04,Sales,24427,Income,Sales transaction on January 04
2023-01-05,Travel,41995,Expense,Travel transaction on January 05
2023-01-06,Marketing,49101,Expense,Marketing transaction on January 06
2023-01-07,Marketing,5448,Expense,Marketing transaction on January 07
2023-01-08,Salary,9850,Expense,Salary transaction on January 08
2023-01-09,Marketing,38588,Expense,Marketing transaction on January 09
2023-01-10,Miscellaneous,49516,Expense,Miscellaneous transaction on January 10
2023-01-11,Consulting,78634,Income,Consulting transaction on January 11
2023-01-12,Rental Income,48866,Income,Rental Income transaction on January 12
2023-01-13,Rental Income,93035,Income,Rental Income transaction on January 13
2023-01-14,Investments,40991,Income,Investments transaction on January 14
2023-01-15,Rental Income,39972,Income,Rental Income transaction on January 15
2023-01-16,Rental Income,19487,Income,Rental Income transaction on January 16
2023-01-17,Rent,10148,Expense,Rent transaction on January 17
2023-01-18,Utilities,39891,Expense,Utilities transaction on January 18
2023-01-19,Salary,5024,Expense,Salary transaction on January 19
2023-01-20,Freelance,41243,Income,Freelance transaction on January 20
2023-01-21,Rent,31933,Expense,Rent transaction on January 21
2023-01-22,Travel,14429,Expense,Travel transaction on January 22
2023-01-23,Consulting,27596,Income,Consulting transaction on January 23
2023-01-24,Sales,54824,Income,Sales transaction on January 24
2023-01-25,Utilities,11901,Expense,Utilities transaction on January 25
2023-01-26,Salary,43749,Expense,Salary transaction on January 26
2023-01-27,Operations,34583,Expense,Operations transaction on January 27
2023-01-28,Travel,17448,Expense,Travel transaction on January 28
2023-01-29,Salary,27341,Expense,Salary transaction on January 29
2023-01-30,Utilities,10381,Expense,Utilities transaction on January 30
2023-01-31,Operations,21469,Expense,Operations transaction on January 31
2023-02-01,Freelance,41407,Income,Freelance transaction on February 01
2023-02-02,Travel,18788,Expense,Travel transaction on February 02
2023-02-03,Operations,42075,Expense,Operations transaction on February 03
2023-02-04,Rental Income,29695,Income,Rental Income transaction on February 04
2023-02-05,Rent,20826,Expense,Rent transaction on February 05
2023-02-06,Rental Income,67076,Income,Rental Income transaction on February 06
2023-02-07,Consulting,97437,Income,Consulting transaction on February 07
2023-02-08,Marketing,17471,Expense,Marketing transaction on February 08
2023-02-09,Operations,16298,Expense,Operations transaction on February 09
2023-02-10,Utilities,34188,Expense,Utilities transaction on February 10
2023-02-11,Investments,53430,Income,Investments transaction on February 11
2023-02-12,Rental Income,96458,Income,Rental Income transaction on February 12
2023-02-13,Consulting,97230,Income,Consulting transaction on February 13
2023-02-14,Operations,36577,Expense,Operations transaction on February 14
2023-02-15,Consulting,66534,Income,Consulting transaction on February 15
2023-02-16,Rental Income,17737,Income,Rental Income transaction on February 16
